id;profile_id;respondent_id;question_id;alternative_id;observation_id;block_id;price;type_burger_classic;type_burger_premium;type_bundle_classic;type_bundle_premium;brand_mcdonalds;brand_burger_king;brand_max_burger;brand_wendys;no_choice;kcal;gram
1;101;1;1;1;1;1;29;0;0;1;0;0;0;1;0;0;431;416
2;42;1;1;2;1;1;23;0;0;1;0;1;0;0;0;0;693;206
3;81;1;1;3;1;1;27;0;0;0;1;0;0;1;0;0;561;320
4;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0
5;78;1;2;1;2;1;27;0;0;0;1;0;1;0;0;0;673;210
6;44;1;2;2;2;1;23;0;0;1;0;0;1;0;0;0;564;190
7;101;1;2;3;2;1;29;0;0;1;0;0;0;1;0;0;1036;228
8;0;1;2;4;2;0;0;0;0;0;0;0;0;0;0;1;0;0
9;81;1;3;1;3;1;27;0;0;0;1;0;0;1;0;0;477;200
10;103;1;3;2;3;1;29;0;0;1;0;0;0;0;1;0;600;264
11;42;1;3;3;3;1;23;0;0;1;0;1;0;0;0;0;1080;240
12;0;1;3;4;3;0;0;0;0;0;0;0;0;0;0;1;0;0
13;44;1;4;1;4;1;23;0;0;1;0;0;1;0;0;0;697;192
14;78;1;4;2;4;1;27;0;0;0;1;0;1;0;0;0;626;247
15;103;1;4;3;4;1;29;0;0;1;0;0;0;0;1;0;694;416
16;0;1;4;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0
17;42;1;5;1;5;1;23;0;0;1;0;1;0;0;0;0;609;291
18;81;1;5;2;5;1;27;0;0;0;1;0;0;1;0;0;400;269
19;78;1;5;3;5;1;27;0;0;0;1;0;1;0;0;0;604;310
20;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;1;0;0
21;103;1;6;1;6;1;29;0;0;1;0;0;0;0;1;0;518;299
22;101;1;6;2;6;1;29;0;0;1;0;0;0;1;0;0;664;191
23;44;1;6;3;6;1;23;0;0;1;0;0;1;0;0;0;446;251
24;0;1;6;4;6;0;0;0;0;0;0;0;0;0;0;1;0;0
25;101;2;1;1;7;1;29;0;0;1;0;0;0;1;0;0;431;269
26;42;2;1;2;7;1;23;0;0;1;0;1;0;0;0;0;1006;262
27;81;2;1;3;7;1;27;0;0;0;1;0;0;1;0;0;738;276
28;0;2;1;4;7;0;0;0;0;0;0;0;0;0;0;1;0;0
29;78;2;2;1;8;1;27;0;0;0;1;0;1;0;0;0;564;280
30;44;2;2;2;8;1;23;0;0;1;0;0;1;0;0;0;427;417
31;101;2;2;3;8;1;29;0;0;1;0;0;0;1;0;0;493;185
32;0;2;2;4;8;0;0;0;0;0;0;0;0;0;0;1;0;0
33;81;2;3;1;9;1;27;0;0;0;1;0;0;1;0;0;793;230
34;103;2;3;2;9;1;29;0;0;1;0;0;0;0;1;0;532;237
35;42;2;3;3;9;1;23;0;0;1;0;1;0;0;0;0;594;282
36;0;2;3;4;9;0;0;0;0;0;0;0;0;0;0;1;0;0
37;44;2;4;1;10;1;23;0;0;1;0;0;1;0;0;0;677;199
38;78;2;4;2;10;1;27;0;0;0;1;0;1;0;0;0;522;248
39;103;2;4;3;10;1;29;0;0;1;0;0;0;0;1;0;493;232
40;0;2;4;4;10;0;0;0;0;0;0;0;0;0;0;1;0;0
41;42;2;5;1;11;1;23;0;0;1;0;1;0;0;0;0;1084;295
42;81;2;5;2;11;1;27;0;0;0;1;0;0;1;0;0;714;313
43;78;2;5;3;11;1;27;0;0;0;1;0;1;0;0;0;703;234
44;0;2;5;4;11;0;0;0;0;0;0;0;0;0;0;1;0;0
45;103;2;6;1;12;1;29;0;0;1;0;0;0;0;1;0;404;283
46;101;2;6;2;12;1;29;0;0;1;0;0;0;1;0;0;624;222
47;44;2;6;3;12;1;23;0;0;1;0;0;1;0;0;0;516;412
48;0;2;6;4;12;0;0;0;0;0;0;0;0;0;0;1;0;0
49;101;3;1;1;13;1;29;0;0;1;0;0;0;1;0;0;423;260
50;42;3;1;2;13;1;23;0;0;1;0;1;0;0;0;0;587;261
51;81;3;1;3;13;1;27;0;0;0;1;0;0;1;0;0;483;315
52;0;3;1;4;13;0;0;0;0;0;0;0;0;0;0;1;0;0
53;78;3;2;1;14;1;27;0;0;0;1;0;1;0;0;0;518;315
54;44;3;2;2;14;1;23;0;0;1;0;0;1;0;0;0;666;250
55;101;3;2;3;14;1;29;0;0;1;0;0;0;1;0;0;684;277
56;0;3;2;4;14;0;0;0;0;0;0;0;0;0;0;1;0;0
57;81;3;3;1;15;1;27;0;0;0;1;0;0;1;0;0;546;322
58;103;3;3;2;15;1;29;0;0;1;0;0;0;0;1;0;651;248
59;42;3;3;3;15;1;23;0;0;1;0;1;0;0;0;0;466;285
60;0;3;3;4;15;0;0;0;0;0;0;0;0;0;0;1;0;0
61;44;3;4;1;16;1;23;0;0;1;0;0;1;0;0;0;550;192
62;78;3;4;2;16;1;27;0;0;0;1;0;1;0;0;0;630;328
63;103;3;4;3;16;1;29;0;0;1;0;0;0;0;1;0;581;289
64;0;3;4;4;16;0;0;0;0;0;0;0;0;0;0;1;0;0
65;42;3;5;1;17;1;23;0;0;1;0;1;0;0;0;0;615;266
66;81;3;5;2;17;1;27;0;0;0;1;0;0;1;0;0;674;325
67;78;3;5;3;17;1;27;0;0;0;1;0;1;0;0;0;701;330
68;0;3;5;4;17;0;0;0;0;0;0;0;0;0;0;1;0;0
69;103;3;6;1;18;1;29;0;0;1;0;0;0;0;1;0;555;183
70;101;3;6;2;18;1;29;0;0;1;0;0;0;1;0;0;670;299
71;44;3;6;3;18;1;23;0;0;1;0;0;1;0;0;0;424;288
72;0;3;6;4;18;0;0;0;0;0;0;0;0;0;0;1;0;0
73;101;4;1;1;19;1;29;0;0;1;0;0;0;1;0;0;1017;183
74;42;4;1;2;19;1;23;0;0;1;0;1;0;0;0;0;578;267
75;81;4;1;3;19;1;27;0;0;0;1;0;0;1;0;0;784;234
76;0;4;1;4;19;0;0;0;0;0;0;0;0;0;0;1;0;0
77;78;4;2;1;20;1;27;0;0;0;1;0;1;0;0;0;627;255
78;44;4;2;2;20;1;23;0;0;1;0;0;1;0;0;0;1051;198
79;101;4;2;3;20;1;29;0;0;1;0;0;0;1;0;0;1049;283
80;0;4;2;4;20;0;0;0;0;0;0;0;0;0;0;1;0;0
81;81;4;3;1;21;1;27;0;0;0;1;0;0;1;0;0;535;346
82;103;4;3;2;21;1;29;0;0;1;0;0;0;0;1;0;648;213
